Integral Name,Class,Ra Obj,Dec Obj,Integral Alt Names,Maxi Name,Maxi ID,Swift Name,Swift ID,Fermi Name,Fermi ID,Swift Weak
4U 2358+21,1500,0.5,21.4,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
IGR J00040+7020,7106,1.008,70.32181,2MASX J00040192+7019185,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
Mrk 335,7100,1.581333,20.202917000000006,"QSO B0003+199, 1AXG J000622+2012, 1H 0003+200, 1RXS J000618.9+201215, 4U 0005+20, IRAS F0003791955",Mrk 335,J0006+202,Mrk 3,Mrk3,noFermi,noFermi,yes
4U 0000+72,1500,1.65,72.78333,"SNR 119.5+10.2, 1H 0007+731, 2E 0004.4+7245, 3A 0004+725",noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
MCG-01-01-043,7106,2.541667,-4.710278,"Mrk 937, 1AXG J001011-0443, RX J0010.1-0442, 1RXS J001010.2-044225, IRAS F00076-0459",noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
2EG J0008+7307,1700,2.55,73.166664,"CTA 1?, GRO J0004+73, 3EG J0010+7309",noMaxi,noMaxi,PSR J0007+7303,PSRJ0007p7303,noFermi,noFermi,yes
QSO B0007+107,7104,2.629208,10.974861,"1H 0014+111, 1RXS J001031.3+105832, 2E 0007.9+1041, ZW III 2, RX J0010.5+1058, H 0008+105, Mrk 1501",noMaxi,noMaxi,QSO B0007+107,QSOB0007p107,noFermi,noFermi,yes
4U 0009-33,5000,2.933333,-33.621666,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
4U 0010+39,1500,3.354167,39.878334,"1M 0001-310, 1XRS 00108+396",noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
IGR J00158+5605,7105,3.9757917000000003,56.049305000000004,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
S5 0014+813,7200,4.285292,81.58559,"[VV96] J001708.1+813507, 1AXG J001720+8135, 1RXS J001710.2+813507, QSO J0017+8135",noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
4U 0015+02,1500,4.470833,3.1383330000000003,1XRS 00153+028,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
IGR J00234+6141,1640,5.740167,61.685417,1RXS J002258.3+614111 CXOU J002257.6+614107,noMaxi,noMaxi,IGR J00234+6141,IGRJ00234p6141,noFermi,noFermi,yes
IGR J00245+6251,1710,6.116667,62.843056000000004,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
4U 0022+63,3200,6.320833,64.15889,"V* B Cas, 1H 0022+638, 2E 0022.1+6353, 3A 0022+638, 3C 10, Cep X-1, Tycho SNR, SNR 021.0+63.0",Tycho SNR,J0025+641,noSwift,noSwift,noFermi,noFermi,noSwift
IGR J00254+6822,7106,6.3854169999999995,68.36222,"IGR J00256+6821, LEDA 136991, IRAS 00227+6805?",noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
IRAS F00235+1024,7600,6.5275,10.690278,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
4U 0026-29,1500,6.7916669999999995,-29.393333000000002,"1H 0024-296, 1XRS 00268-291",noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
4U 0026-73,1500,7.0,-72.7,1XRS 00264-730,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
4U 0027+59,1500,7.0416669999999995,59.153330000000004,"1A 0026+59, 1H 0025+588, 1XRS 00262+59, 3A 0026+5933",noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
V709 Cas,1640,7.203625,59.289390000000004,"V* V709 Cas, 1RXS J002848.2+591723, RX J0028.8+5917",V709 Cas,J0028+592,V709 Cas,V709Cas,noFermi,noFermi,yes
IGR J00291+5934,1416,7.262708,59.57192,-,noMaxi,noMaxi,IGR J00291+5934,IGRJ00291p5934,noFermi,noFermi,yes
4U 0028+22,1500,8.0,22.4,1XRS 00288+220,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
2CG 121+04,1700,8.0,66.8,1CG 1+1+03,noMaxi,noMaxi,2CG 121+04,2CG121p04,noFermi,noFermi,yes
RX J0032.9-7348,1300,8.23375,-73.805275,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
